Respondent	Frequentie	WordCount	Geboortejaar
Balthazar Baarsma	1	2540	1983
Baptist Banda	10	12450	1976
Barend Balta	0	2170	1999
Barry Bandstra	2	10890	1989
Bart Bandsma	1	6700	1989
Barteld Balkema	0	4060	1992
Bas Bandsema	0	6190	2001
Bastiaan Bansema	2	3340	1978
Bauke Barsema	2	2170	1973
Bavo Balsma	2	5230	1985
Beau Bajema	0	6840	1991
Ben Bardega	0	1920	1991
Benito Bantema	1	2900	1986
Benjamin Ballestra	2	2840	1977
Berend Barendsma	4	7180	1980
Bernhard Banstra	1	3290	1987
Berry Baanstra	3	3210	1973
Bert Balstra	4	14410	1988
Bessel Bantega	5	2940	1963
Bever Bietsema	10	3457	1956
Bing Banninga	3	2630	1972
Bjorn Ballema	3	2770	1972
Bob Baringa	4	1530	1963
Boris Bandringa	5	6780	1976
Boudewijn Banga	3	2300	1971
Bouke Barma	6	3680	1970
Boy Baama	4	4460	1974
Bram Barla	5	6040	1974
Brandon Bansenga	5	6050	1976
Brecht Baayma	3	5320	1979
Brent Baarda	4	2780	1970
Brian Baaima	3	3740	1976
Bruno Bangma	3	4870	1977
Bryan Barkema	2	3960	1983
Bucky Bargstra	3	8700	1986
