Spreker	Variant_r	Geslacht	Leeftijd	L1_NL
Aaron	/R/	man	19	TRUE
Alvaro	/r/	man	43	FALSE
Amelie	/R/	vrouw	21	TRUE
Clara	/r/	vrouw	46	FALSE
Dagmar	/R/	vrouw	47	FALSE
Emma	/r/	vrouw	19	TRUE
Eva	/R/	vrouw	35	TRUE
Frank	/R/	man	34	TRUE
Fuad	/r/	man	32	FALSE
Griet	/r/	vrouw	57	TRUE
Johan	/r/	man	62	TRUE
Kenneth	/R/	man	21	TRUE
Lucas	/R/	man	NA	TRUE
Oscar	/R/	man	17	TRUE
Ramon	/r/	man	28	FALSE
Romy	/r/	vrouw	34	TRUE
Ruud	/r/	man	49	TRUE
Victor	/r/	man	16	FALSE
Wilma	/r/	vrouw	64	TRUE
Willem	/R/	man	44	TRUE
